"Subject","Function"
"libpng","png.c:png_icc_profile_error"
"libpng","png.c:is_ICC_signature"
"libpng","png.c:is_ICC_signature_char"
"libpng","png.c:png_icc_tag_name"
"libpng","png.c:png_icc_tag_char"
"libpng","png.c:png_icc_check_length"
"libpng","png.c:icc_check_length"
"libpng","png.c:png_icc_check_header"
"libpng","png.c:png_icc_check_tag_table"
"libpng","png.c:png_icc_set_sRGB"
"libpng","png.c:png_compare_ICC_profile_with_sRGB"
"libpng","png.c:png_colorspace_set_ICC"
"libpng","png.c:png_colorspace_set_rgb_coefficients"
"libpng","png.c:png_check_fp_number"
"libpng","png.c:png_check_fp_string"
"libpng","png.c:png_ascii_from_fp"
"libpng","png.c:png_pow10"
"libpng","png.c:png_ascii_from_fixed"
"libpng","png.c:png_reciprocal2"
"libpng","png.c:png_gamma_8bit_correct"
"libpng","png.c:png_gamma_16bit_correct"
"libpng","png.c:png_gamma_correct"
"libpng","png.c:png_destroy_gamma_table"
"libpng","png.c:png_build_gamma_table"
"libpng","png.c:png_build_8bit_table"
"libpng","png.c:png_product2"
"libpng","png.c:png_build_16to8_table"
"libpng","png.c:png_build_16bit_table"
"libpng","png.c:png_set_option"
"libpng","png.c:png_image_free_function"
"libpng","pngread.c:png_destroy_read_struct"
"libpng","pngread.c:png_read_destroy"
"libpng","png.c:png_image_error"
"libpng","pngpread.c:png_process_data"
"libpng","pngpread.c:png_push_restore_buffer"
"libpng","pngpread.c:png_process_some_data"
"libpng","pngpread.c:png_push_read_sig"
"libpng","pngpread.c:png_push_fill_buffer"
"libpng","pngpread.c:png_push_read_chunk"
"libpng","pngpread.c:png_push_save_buffer"
"libpng","pngrutil.c:png_get_uint_31"
"libpng","pngrutil.c:png_crc_read"
"libpng","pngrutil.c:png_check_chunk_name"
"libpng","pngrutil.c:png_check_chunk_length"
"libpng","pngrutil.c:png_handle_IHDR"
"libpng","pngrutil.c:png_crc_finish"
"libpng","pngrutil.c:png_crc_error"
"libpng","pngset.c:png_set_IHDR"
"libpng","pngrutil.c:png_handle_IEND"
"libpng","pngpread.c:png_push_have_end"
"libpng","pngrutil.c:png_handle_unknown"
"libpng","pngrutil.c:png_cache_unknown_chunk"
"libpng","pngset.c:png_set_unknown_chunks"
"libpng","pngset.c:check_location"
"libpng","pngrutil.c:png_handle_PLTE"
